Year,State,White,White Lower CI,White Upper CI,Black,Black Lower CI,Black Upper CI,Hispanic,Hispanic Lower CI,Hispanic Upper CI,Asian or Pacific Islander,Asian or Pacific Islander Lower CI,Asian or Pacific Islander Upper CI,American Indian or Alaska Native,American Indian or Alaska Native Lower CI,American Indian or Alaska Native Upper CI,Multiracial,Multiracial Lower CI,Multiracial Upper CI
2000,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,Arizona,8.6,7.5,9.8,7.3,4.4,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,Georgia,7.9,6.7,9.3,5.3,4.4,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,Maryland,4.9,3.8,6.4,6.1,4.7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,Missouri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,New Jersey,11.3,9.5,13.3,10.6,8.5,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,North Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,South Carolina,6.5,5.2,8.2,5.8,4.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
