Year,State,Boys,Boys Lower CI,Boys Upper CI,Girls,Girls Lower CI,Girls Upper CI
2000,Alabama,NA,NA,NA,NA,NA,NA
2000,Arizona,9.7,8.5,11.1,3.2,2.5,4
2000,Arkansas,NA,NA,NA,NA,NA,NA
2000,California,NA,NA,NA,NA,NA,NA
2000,Colorado,NA,NA,NA,NA,NA,NA
2000,Florida,NA,NA,NA,NA,NA,NA
2000,Georgia,11,9.7,12.4,2,1.5,2.7
2000,Indiana,NA,NA,NA,NA,NA,NA
2000,Maryland,8.6,7.1,10.6,2.2,1.5,2.7
2000,Minnesota,NA,NA,NA,NA,NA,NA
2000,Missouri,NA,NA,NA,NA,NA,NA
2000,New Jersey,14.8,13,16.8,4.3,3.3,5.5
2000,North Carolina,NA,NA,NA,NA,NA,NA
2000,Pennsylvania,NA,NA,NA,NA,NA,NA
2000,Puerto Rico,NA,NA,NA,NA,NA,NA
2000,South Carolina,9.3,7.8,11.2,3.3,2.4,4.5
2000,Tennessee,NA,NA,NA,NA,NA,NA
2000,Texas,NA,NA,NA,NA,NA,NA
2000,Total,NA,NA,NA,NA,NA,NA
2000,Utah,NA,NA,NA,NA,NA,NA
2000,West Virginia,6.6,5.2,8.2,2.4,1.6,3.5
2000,Wisconsin,NA,NA,NA,NA,NA,NA
2002,Alabama,5,4.1,6.2,1.4,0.9,2.1
2002,Arizona,10.1,8.8,11.4,2.2,1.7,2.9
2002,Arkansas,10.7,9.3,12.3,2.9,2.2,3.8
2002,California,NA,NA,NA,NA,NA,NA
2002,Colorado,9.9,7.6,12.9,1.7,0.9,3.2
2002,Florida,NA,NA,NA,NA,NA,NA
2002,Georgia,12.4,11,13.9,2.6,2.3,3.4
2002,Indiana,NA,NA,NA,NA,NA,NA
2002,Maryland,10.2,8.7,11.9,3,2.3,4.1
2002,Minnesota,NA,NA,NA,NA,NA,NA
2002,Missouri,11.3,9.7,13.2,3.1,2.3,4.3
2002,New Jersey,16.8,14.9,19,4,3.1,5.2
